id_cliente,edad,antiguedad_meses,cargo_mensual,cantidad_servicios,consultas_soporte,reclamos_ultimo_anio,horas_uso_mensual,tipo_contrato,medio_pago,satisfaccion,gasto_anual,abandono
C1001,30,23,57300,1,6,3,45.3,Anual,Tarjeta,2.7,568000,1
C1002,49,42,128000,4,1,1,78.1,Anual,Transferencia,7.9,1549000,0
C1003,52,89,120100,3,0,1,55.4,Bianual,Debito automatico,7.8,1513000,0
C1004,34,21,48600,1,4,1,37.0,Anual,Efectivo,3.9,632000,1
C1005,26,4,67600,3,1,0,37.5,Mensual,Tarjeta,4.6,926000,0
C1006,54,79,144400,4,1,1,75.8,Anual,Efectivo,8.6,1708000,0
C1007,41,48,115400,3,7,3,89.2,Mensual,Debito automatico,1.0,1498000,1
C1008,28,5,81700,2,4,2,51.3,Mensual,Tarjeta,3.5,1149000,1
C1009,18,19,61800,1,5,1,38.7,Mensual,Tarjeta,5.6,862000,1
C1010,50,21,126300,3,3,1,93.0,Mensual,Debito automatico,8.5,1621000,0
C1011,37,51,109900,3,1,1,,Anual,Tarjeta,9.0,1125000,0
C1012,40,100,125300,3,0,1,83.9,Anual,Debito automatico,8.8,1486000,0
C1013,40,31,105800,3,2,4,74.4,Mensual,Tarjeta,3.2,1338000,1
C1014,56,80,131400,4,4,0,77.2,Mensual,Debito automatico,8.1,1684000,0
C1015,28,40,111800,4,3,0,83.9,Mensual,Tarjeta,8.5,1482000,0
C1016,29,8,84000,2,4,0,28.3,Mensual,Tarjeta,4.3,1200000,1
C1017,47,44,123800,4,1,0,66.1,Mensual,Tarjeta,10.0,1658000,0
C1018,30,1,71500,2,4,0,21.1,Mensual,Tarjeta,4.6,1060000,1
C1019,57,74,127400,4,0,1,62.0,Bianual,Debito automatico,7.9,1398000,0
C1020,24,27,102800,3,10,2,44.0,Mensual,Debito automatico,4.6,1368000,1
C1021,39,13,112600,3,3,3,69.0,Mensual,Transferencia,4.4,1296000,1
C1022,38,37,111300,1,1,1,107.1,Mensual,Debito automatico,7.7,1373000,0
C1023,48,59,126000,5,4,2,57.5,Bianual,Tarjeta,8.4,1465000,0
C1024,59,83,117900,4,1,0,76.5,Anual,Debito automatico,5.4,1625000,0
C1025,49,32,94900,3,5,1,45.5,Bianual,Debito automatico,4.0,1208000,0
C1026,42,11,49100,1,3,2,29.1,Mensual,Tarjeta,5.7,736000,1
C1027,52,62,136100,3,0,0,77.0,Anual,Tarjeta,,1644000,0
C1028,26,9,68200,1,3,1,43.6,Mensual,Tarjeta,6.9,788000,0
C1029,30,13,57200,2,2,1,23.1,Mensual,Tarjeta,7.7,671000,1
C1030,43,28,75700,1,4,3,78.2,Anual,Transferencia,3.7,939000,1
C1031,37,23,92500,2,7,2,58.1,Anual,Efectivo,5.1,1332000,1
C1032,53,71,137400,5,4,1,61.6,Anual,Debito automatico,7.5,1806000,0
C1033,48,79,115100,3,0,0,67.9,Mensual,Transferencia,7.2,1485000,0
C1034,40,42,124800,3,0,0,92.1,Anual,Debito automatico,8.0,1534000,0
C1035,35,39,124600,4,1,4,102.3,Anual,Debito automatico,7.9,1549000,0
